Name,Link,Price,Image,Field4
Mac (88) AC QC Apples,https://www.iga.net/en/product/applesmac-88-ac-qc/00000_000000000000004019,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004019.jpg,
 McIntosh Apples,https://www.iga.net/en/product/mcintosh-apples/00000_000000000000004152,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004152.jpg,
McIntosh Organic 2 lbs Quebec Apples,https://www.iga.net/en/product/applesmcintosh-organic-2-lbs-quebec/00000_000000068575009129,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068575009129.jpg,
Medium 72-88 Oranges,https://www.iga.net/en/product/orangesmedium-72-88/00000_000000000000003107,"
                                            $1.29 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003107.jpg,
Mini Seedless Watermelon,https://www.iga.net/en/product/watermelonmini-seedless/00000_000000000000003421,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003421.jpg,
Moro Blood Oranges,https://www.iga.net/en/product/orangesmoro-blood/00000_000000003338311964,"
                                            $0.58 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338311964.jpg,
Navel Large Organic Orange,https://www.iga.net/en/product/orangenavel-large-organic/00000_000000000000094012,"
                                            $1.99 / EA
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
 Nino Ladyfinger Bananas,https://www.iga.net/en/product/nino-ladyfinger-bananas/00000_000000000000004234,"
                                            $0.44 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004234.jpg,
Organic 6-7 Honeydew Melon,https://www.iga.net/en/product/honeydew-melonorganic-6-7/00000_000000000000094329,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094329.jpg,
Organic Apples Granny Smith,https://www.iga.net/en/product/apples-granny-smithorganic/00000_000000000000094017,"
                                            $0.66 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094017.jpg,
Organic Bartlett Pears,https://www.iga.net/en/product/bartlett-pearsorganic/00000_000000000000094409,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094409.jpg,
Organic Clamshell Strawberries,https://www.iga.net/en/product/strawberriesorganic-clamshell/00000_000000071575620011,"
                                            $1.32 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0071575620011.jpg,
Organic Grapefruit,https://www.iga.net/en/product/grapefruitorganic/00000_000000067280820054,"
                                            $0.73 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0067280820054.jpg,
Organic Lime,https://www.iga.net/en/product/limeorganic/00000_000000068575009140,"
                                            $1.21 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068575009140.jpg,
Organic Mangoes,https://www.iga.net/en/product/mangoesorganic/00000_000000000000094959,"
                                            $2.49 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094959.jpg,
 Plantain,https://www.iga.net/en/product/plantain/00000_000000000000004235,"
                                            $0.26 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004235.jpg,
Red Bananas,https://www.iga.net/en/product/bananasred/00000_000000000000004236,"
                                            $0.37 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004236.jpg,
Red Delicious Apples,https://www.iga.net/en/product/applesred-delicious/00000_000000068657801404,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068657801404.jpg,
Red Delicious East 100 Apples,https://www.iga.net/en/product/applesred-delicious-east-100/00000_000000000000004167,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004167.jpg,
Red Delicious Organic Apples,https://www.iga.net/en/product/applesred-delicious-organic/00000_000000000000094015,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094015.jpg,
Red Globe Grapes,https://www.iga.net/en/product/grapesred-globe/00000_000000000000004636,"
                                            $0.99 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004636.jpg,
Red Large Mangoes,https://www.iga.net/en/product/mangoesred-large/00000_000000000000004959,"
                                            $2.79 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004959.jpg,
Red Pink Organic Grapefruit,https://www.iga.net/en/product/grapefruitred-pink-organic/00000_000000000000094027,"
                                            $1.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094027.jpg,
Roasted Peeled Chesnuts,https://www.iga.net/en/product/chesnutsroasted-peeled/00000_000000081937700012,"
                                            $1.67 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0081937700012.jpg,
Rocha Bag 2.5lbs Pear,https://www.iga.net/en/product/pearrocha-bag-2-5lbs/00000_000000560571500851,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0560571500851.jpg,
Rocha Pears,https://www.iga.net/en/product/pearsrocha/00000_000000000000003024,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003024.jpg,
Royal Gala 100 Apples,https://www.iga.net/en/product/applesroyal-gala-100/00000_000000000000004173,"
                                            $0.51 / 100 G
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Royal Gala Organic Apples,https://www.iga.net/en/product/applesroyal-gala-organic/00000_000000000000094173,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094173.jpg,
Small Honeydew Melon,https://www.iga.net/en/product/honeydew-melonsmall/00000_000000000000004329,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004329.jpg,
Spartan East Small Apples,https://www.iga.net/en/product/applesspartan-east-small/00000_000000000000004177,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004177.jpg,
Spartan Organic 2 lbs Quebec Apples,https://www.iga.net/en/product/applesspartan-organic-2-lbs-quebec/00000_000000068575009130,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068575009130.jpg,
